sentence_number	batch	model	prompt	temperature	bertscore_precision	bertscore_recall	bertscore_f1	CHRF	COMET
0	1	ChatGPT 4	prompt3	0.15	[0.8215030431747437]	[0.7867215871810913]	0.8037362098693848	44.89533503704946	[0.9076057076454163]
1	1	ChatGPT 4	prompt3	0.15	[0.9784585237503052]	[0.9829313158988953]	0.9806898832321167	86.79387547974578	[0.928398072719574]
2	1	ChatGPT 4	prompt3	0.15	[0.88126140832901]	[0.8899551630020142]	0.8855869174003601	71.24504830548578	[0.9090979099273682]
3	1	ChatGPT 4	prompt3	0.15	[0.8536964654922485]	[0.8008254766464233]	0.8264161944389343	60.56417765218944	[0.9125834703445435]
4	1	ChatGPT 4	prompt3	0.15	[0.8550270199775696]	[0.8493075966835022]	0.8521577715873718	72.50298889109187	[0.8695617318153381]
5	1	ChatGPT 4	prompt3	0.15	[0.8404167890548706]	[0.7411051392555237]	0.787642776966095	42.70274456946094	[0.46144846081733704]
6	1	ChatGPT 4	prompt3	0.15	[0.7624491453170776]	[0.8460675477981567]	0.8020849227905273	75.99993887873693	[0.6989839673042297]
7	1	ChatGPT 4	prompt3	0.15	[0.8161811828613281]	[0.779054582118988]	0.7971858382225037	63.072241569192336	[0.8775427937507629]
8	1	ChatGPT 4	prompt3	0.15	[0.8477473258972168]	[0.7998191714286804]	0.8230860829353333	64.67395077413666	[0.9529666900634766]
9	1	ChatGPT 4	prompt3	0.15	[0.8627148270606995]	[0.8191616535186768]	0.8403743505477905	57.94010800368915	[0.9305104613304138]
10	1	ChatGPT 4	prompt3	0.15	[0.8241326808929443]	[0.8278310894966125]	0.8259777426719666	38.40073304803419	[0.844392716884613]
11	1	ChatGPT 4	prompt3	0.15	[1.0]	[1.0]	1.0	100.0	[0.9943715929985046]
12	1	ChatGPT 4	prompt3	0.15	[0.7339533567428589]	[0.7598798871040344]	0.7466915845870972	56.09484973074979	[0.8287000060081482]
13	1	ChatGPT 4	prompt3	0.15	[0.8981038331985474]	[0.8861571550369263]	0.8920904994010925	68.95137115007081	[0.8271260261535645]
14	1	ChatGPT 4	prompt3	0.15	[0.9032649993896484]	[0.8607043027877808]	0.8814712166786194	72.2478332738714	[0.9255456924438477]
15	1	ChatGPT 4	prompt3	0.15	[0.9286923408508301]	[0.8980339169502258]	0.9131059050559998	77.06368302203043	[0.9357179999351501]
16	1	ChatGPT 4	prompt3	0.15	[0.939639151096344]	[0.9104636311531067]	0.9248213171958923	79.24709022145319	[0.9524208307266235]
17	1	ChatGPT 4	prompt3	0.15	[1.0]	[1.0]	1.0	100.0	[0.9820597171783447]
18	1	ChatGPT 4	prompt3	0.15	[0.8241326808929443]	[0.8278310894966125]	0.8259777426719666	38.40073304803419	[0.844392716884613]
19	1	ChatGPT 4	prompt3	0.15	[1.0]	[1.0]	1.0	100.0	[0.9943715929985046]
20	1	ChatGPT 4	prompt3	0.15	[0.8453896641731262]	[0.8137605786323547]	0.8292736411094666	52.9042840595997	[0.7450717687606812]
21	1	ChatGPT 4	prompt3	0.15	[0.8598196506500244]	[0.8189736604690552]	0.8388997316360474	48.240290074190234	[0.747279942035675]
22	1	ChatGPT 4	prompt3	0.15	[0.9351555109024048]	[0.9322775602340698]	0.9337143301963806	83.68652580995914	[0.9388063549995422]
23	1	ChatGPT 4	prompt3	0.15	[0.874744713306427]	[0.8734554648399353]	0.874099612236023	32.436107241211545	[0.7758765816688538]
24	1	ChatGPT 4	prompt3	0.15	[0.8857182264328003]	[0.864745557308197]	0.8751062750816345	56.702434543991274	[0.8074201345443726]
25	1	ChatGPT 4	prompt3	0.15	[1.0000001192092896]	[1.0000001192092896]	1.0000001192092896	100.0	[0.9909891486167908]
26	1	ChatGPT 4	prompt3	0.15	[0.7526310682296753]	[0.7577062845230103]	0.7551601529121399	40.712282416676594	[0.8859710097312927]
27	1	ChatGPT 4	prompt3	0.15	[0.9999999403953552]	[0.9999999403953552]	0.9999999403953552	100.0	[0.9837085604667664]
28	1	ChatGPT 4	prompt3	0.15	[0.7813712954521179]	[0.8737788796424866]	0.8249955177307129	38.00376884265436	[0.9233179688453674]
29	1	ChatGPT 4	prompt3	0.15	[1.000000238418579]	[1.000000238418579]	1.000000238418579	100.0	[0.9875254034996033]
30	1	ChatGPT 4	prompt3	0.15	[0.9999997615814209]	[0.9999997615814209]	0.9999997615814209	100.0	[0.9859870076179504]
31	1	ChatGPT 4	prompt3	0.15	[1.0000001192092896]	[1.0000001192092896]	1.0000001192092896	100.0	[0.9899653792381287]
32	1	ChatGPT 4	prompt3	0.15	[0.8241326808929443]	[0.8278310894966125]	0.8259777426719666	38.40073304803419	[0.844392716884613]
33	1	ChatGPT 4	prompt3	0.15	[1.0]	[1.0]	1.0	100.0	[0.9943715929985046]
34	1	ChatGPT 4	prompt3	0.15	[0.9768310189247131]	[0.9734431505203247]	0.9751341342926025	79.7401064360567	[0.8992356657981873]
35	1	ChatGPT 4	prompt3	0.15	[0.9380950927734375]	[0.8965564370155334]	0.9168555736541748	66.98416072776357	[0.9083383679389954]
36	1	ChatGPT 4	prompt3	0.15	[0.9144510626792908]	[0.9189732074737549]	0.9167065620422363	66.25971193950686	[0.7452948093414307]
37	1	ChatGPT 4	prompt3	0.15	[0.8512664437294006]	[0.8832947015762329]	0.8669848442077637	41.47278913638714	[0.6715637445449829]
38	1	ChatGPT 4	prompt3	0.15	[0.7933651208877563]	[0.7677314281463623]	0.7803378105163574	38.998326030806545	[0.7569841742515564]
39	1	ChatGPT 4	prompt3	0.15	[0.828330934047699]	[0.8055676817893982]	0.8167906999588013	47.87436165948606	[0.8479206562042236]
40	1	ChatGPT 4	prompt3	0.15	[1.0]	[1.0]	1.0	100.0	[0.9866815805435181]
41	1	ChatGPT 4	prompt3	0.15	[1.0]	[1.0]	1.0	100.0	[0.9891265630722046]
42	1	ChatGPT 4	prompt3	0.15	[0.732332706451416]	[0.7871602773666382]	0.7587573528289795	62.06647041588435	[0.8396087884902954]
43	1	ChatGPT 4	prompt3	0.15	[0.9999998807907104]	[0.9999998807907104]	0.9999998807907104	100.0	[0.9898729920387268]
44	1	ChatGPT 4	prompt3	0.15	[0.9999998807907104]	[0.9999998807907104]	0.9999998807907104	100.0	[0.9905000329017639]
45	1	ChatGPT 4	prompt3	0.15	[0.8241326808929443]	[0.8278310894966125]	0.8259777426719666	38.40073304803419	[0.844392716884613]
46	1	ChatGPT 4	prompt3	0.15	[1.0]	[1.0]	1.0	100.0	[0.9943715929985046]
47	1	ChatGPT 4	prompt3	0.15	[0.918220043182373]	[0.9287158250808716]	0.9234381318092346	68.5256889057238	[0.8936678767204285]
48	1	ChatGPT 4	prompt3	0.15	[0.9635806083679199]	[0.9579743146896362]	0.9607692360877991	76.00004297523994	[0.9458139538764954]
49	1	ChatGPT 4	prompt3	0.15	[0.9079351425170898]	[0.8673744201660156]	0.8871914148330688	71.23902402413714	[0.8913924098014832]
50	1	ChatGPT 4	prompt3	0.15	[0.8512664437294006]	[0.8832947015762329]	0.8669848442077637	41.47278913638714	[0.6715637445449829]
51	1	ChatGPT 4	prompt3	0.15	[0.8335941433906555]	[0.8523719310760498]	0.842878520488739	37.20315114896623	[0.8912271857261658]
52	1	ChatGPT 4	prompt3	0.15	[0.8735438585281372]	[0.8529346585273743]	0.8631162047386169	52.85415404851792	[0.8634909987449646]
53	1	ChatGPT 4	prompt3	0.15	[0.9507479667663574]	[0.9638041853904724]	0.9572315216064453	73.17088515377122	[0.9673736691474915]
54	1	ChatGPT 4	prompt3	0.15	[0.9310860633850098]	[0.9412651658058167]	0.936147928237915	67.76472852709833	[0.9446495175361633]
55	1	ChatGPT 4	prompt3	0.15	[0.929360032081604]	[0.9271845817565918]	0.9282710552215576	67.90699213432762	[0.9443936347961426]
56	1	ChatGPT 4	prompt3	0.15	[0.913557767868042]	[0.8802210092544556]	0.8965796232223511	50.731123453953366	[0.9225537776947021]
57	1	ChatGPT 4	prompt3	0.15	[0.8241326808929443]	[0.8278310894966125]	0.8259777426719666	38.40073304803419	[0.844392716884613]
58	1	ChatGPT 4	prompt3	0.15	[1.0]	[1.0]	1.0	100.0	[0.9943715929985046]
59	1	ChatGPT 4	prompt3	0.15	[0.8403788805007935]	[0.8854936361312866]	0.8623465895652771	68.57138606330996	[0.900113046169281]
60	1	ChatGPT 4	prompt3	0.15	[0.7327944040298462]	[0.6788871884346008]	0.7048115134239197	20.88126969739233	[0.49148449301719666]
61	1	ChatGPT 4	prompt3	0.15	[1.0]	[1.0]	1.0	100.0	[0.9810548424720764]
62	1	ChatGPT 4	prompt3	0.15	[1.0]	[1.0]	1.0	100.0	[0.9905698895454407]
63	1	ChatGPT 4	prompt3	0.15	[1.0]	[1.0]	1.0	100.0	[0.9877201914787292]
64	1	ChatGPT 4	prompt3	0.15	[0.9276845455169678]	[0.9276845455169678]	0.9276845455169678	62.80962491153574	[0.8611641526222229]
65	1	ChatGPT 4	prompt3	0.15	[0.8241326808929443]	[0.8278310894966125]	0.8259777426719666	38.40073304803419	[0.844392716884613]
66	1	ChatGPT 4	prompt3	0.15	[1.0]	[1.0]	1.0	100.0	[0.9943715929985046]
67	1	ChatGPT 4	prompt3	0.15	[0.9531142711639404]	[0.9265991449356079]	0.939669668674469	64.00562631864523	[0.950827956199646]
68	1	ChatGPT 4	prompt3	0.15	[0.8618096709251404]	[0.8393446207046509]	0.8504288196563721	48.39804788493595	[0.814344048500061]
69	1	ChatGPT 4	prompt3	0.15	[0.8381853699684143]	[0.8086869120597839]	0.8231719732284546	43.02704199042246	[0.6758605241775513]
70	1	ChatGPT 4	prompt3	0.15	[0.9999999403953552]	[0.9999999403953552]	0.9999999403953552	100.0	[0.9907765984535217]
71	1	ChatGPT 4	prompt3	0.15	[0.8918931484222412]	[0.8961085677146912]	0.8939958214759827	73.3894644366642	[0.9253643155097961]
72	1	ChatGPT 4	prompt3	0.15	[1.0]	[1.0]	1.0	100.0	[0.9750762581825256]
73	1	ChatGPT 4	prompt3	0.15	[0.9999999403953552]	[0.9999999403953552]	0.9999999403953552	100.0	[0.9916960597038269]
74	1	ChatGPT 4	prompt3	0.15	[0.8917655348777771]	[0.9081770777702332]	0.899896502494812	54.74121863135861	[0.9565933346748352]
75	1	ChatGPT 4	prompt3	0.15	[0.76711106300354]	[0.76711106300354]	0.76711106300354	19.332925566238984	[0.8135027289390564]
76	1	ChatGPT 4	prompt3	0.15	[0.8120322227478027]	[0.7856553792953491]	0.7986260652542114	25.02558363384822	[0.9295548796653748]
77	1	ChatGPT 4	prompt3	0.15	[0.8241326808929443]	[0.8278310894966125]	0.8259777426719666	38.40073304803419	[0.844392716884613]
78	1	ChatGPT 4	prompt3	0.15	[1.0]	[1.0]	1.0	100.0	[0.9943715929985046]
79	1	ChatGPT 4	prompt3	0.15	[0.9424571990966797]	[0.8973191976547241]	0.9193344712257385	75.01240546137652	[0.829511821269989]
80	1	ChatGPT 4	prompt3	0.15	[0.7410888671875]	[0.7634938359260559]	0.752124547958374	36.40600942275522	[0.7168304920196533]
81	1	ChatGPT 4	prompt3	0.15	[0.7666717767715454]	[0.7568389773368835]	0.7617236971855164	40.365516331280816	[0.698030412197113]
82	1	ChatGPT 4	prompt3	0.15	[0.8032009601593018]	[0.7930614948272705]	0.7980990409851074	47.48896149444862	[0.799564003944397]
83	1	ChatGPT 4	prompt3	0.15	[1.0]	[1.0]	1.0	100.0	[0.9820341467857361]
84	1	ChatGPT 4	prompt3	0.15	[0.9999999403953552]	[0.9999999403953552]	0.9999999403953552	100.0	[0.9840215444564819]
85	1	ChatGPT 4	prompt3	0.15	[0.9999997615814209]	[0.9999997615814209]	0.9999997615814209	100.0	[0.9859870076179504]
86	1	ChatGPT 4	prompt3	0.15	[1.0000001192092896]	[1.0000001192092896]	1.0000001192092896	100.0	[0.9899653792381287]
