sentence_number	batch	model	prompt	temperature	bertscore_precision	bertscore_recall	bertscore_f1	CHRF	COMET
0	5	ChatGPT 4	prompt3	0.45	0.8215030431747437	0.7867215871810913	0.8037362098693848	44.89533503704946	0.9076057076454163
1	5	ChatGPT 4	prompt3	0.45	0.9784585237503052	0.9829313158988953	0.9806898832321167	86.79387547974578	0.928398072719574
2	5	ChatGPT 4	prompt3	0.45	0.8744009137153625	0.8561388254165649	0.8651735186576843	66.15505816558341	0.8907464742660522
3	5	ChatGPT 4	prompt3	0.45	0.8536964654922485	0.8008254766464233	0.8264161944389343	60.56417765218944	0.9125834703445435
4	5	ChatGPT 4	prompt3	0.45	0.865402102470398	0.8545909523963928	0.8599625825881958	72.95847095921229	0.8736900091171265
5	5	ChatGPT 4	prompt3	0.45	0.8404167890548706	0.7411051392555237	0.787642776966095	42.70274456946094	0.46144846081733704
6	5	ChatGPT 4	prompt3	0.45	0.7624491453170776	0.8460675477981567	0.8020849227905273	75.99993887873693	0.6989839673042297
7	5	ChatGPT 4	prompt3	0.45	0.8161811828613281	0.779054582118988	0.7971858382225037	63.072241569192336	0.8775427937507629
8	5	ChatGPT 4	prompt3	0.45	0.8477473258972168	0.7998191714286804	0.8230860829353333	64.67395077413666	0.9529666900634766
9	5	ChatGPT 4	prompt3	0.45	0.8627148270606995	0.8191616535186768	0.8403743505477905	57.94010800368915	0.9305104613304138
10	5	ChatGPT 4	prompt3	0.45	0.8241326808929443	0.8278310894966125	0.8259777426719666	38.40073304803419	0.844392716884613
11	5	ChatGPT 4	prompt3	0.45	1.0	1.0	1.0	100.0	0.9943715929985046
12	5	ChatGPT 4	prompt3	0.45	0.7339533567428589	0.7598798871040344	0.7466915845870972	56.09484973074979	0.8287000060081482
13	5	ChatGPT 4	prompt3	0.45	0.8981038331985474	0.8861571550369263	0.8920904994010925	68.95137115007081	0.8271260261535645
14	5	ChatGPT 4	prompt3	0.45	0.9032649993896484	0.8607043027877808	0.8814712166786194	72.2478332738714	0.9255456924438477
15	5	ChatGPT 4	prompt3	0.45	0.9286923408508301	0.8980339169502258	0.9131059050559998	77.06368302203043	0.9357179999351501
16	5	ChatGPT 4	prompt3	0.45	0.939639151096344	0.9104636311531067	0.9248213171958923	79.24709022145319	0.9524208307266235
17	5	ChatGPT 4	prompt3	0.45	1.0	1.0	1.0	100.0	0.9820597171783447
18	5	ChatGPT 4	prompt3	0.45	0.8241326808929443	0.8278310894966125	0.8259777426719666	38.40073304803419	0.844392716884613
19	5	ChatGPT 4	prompt3	0.45	1.0	1.0	1.0	100.0	0.9943715929985046
20	5	ChatGPT 4	prompt3	0.45	0.8391958475112915	0.8128157258033752	0.8257951140403748	53.20359022877721	0.7490813136100769
21	5	ChatGPT 4	prompt3	0.45	0.8732189536094666	0.8258900046348572	0.8488953113555908	50.083134168725564	0.7061551213264465
22	5	ChatGPT 4	prompt3	0.45	0.9351555705070496	0.9322776198387146	0.9337143898010254	83.68652580995914	0.9388063549995422
23	5	ChatGPT 4	prompt3	0.45	0.874744713306427	0.8734554648399353	0.874099612236023	32.436107241211545	0.7758765816688538
24	5	ChatGPT 4	prompt3	0.45	0.8857182264328003	0.8647456169128418	0.8751062750816345	56.702434543991274	0.8074201345443726
25	5	ChatGPT 4	prompt3	0.45	1.0000001192092896	1.0000001192092896	1.0000001192092896	100.0	0.9909891486167908
26	5	ChatGPT 4	prompt3	0.45	0.7526310682296753	0.7577062845230103	0.7551601529121399	40.712282416676594	0.8859710097312927
27	5	ChatGPT 4	prompt3	0.45	0.9999999403953552	0.9999999403953552	0.9999999403953552	100.0	0.9837085604667664
